    TIME_START     ,    TIME_END    ,    IMAGES     
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
00:00:02:700,00:00:02:800
,,DJI_0045.JPG
,,DJI_0046.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0058.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
00:00:02:800,00:00:02:900
,,DJI_0045.JPG
,,DJI_0046.JPG
,,DJI_0057.JPG
,,DJI_0058.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
00:00:02:900,00:00:03:000
,,DJI_0044.JPG
,,DJI_0045.JPG
,,DJI_0046.JPG
,,DJI_0057.JPG
,,DJI_0058.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
00:00:03:000,00:00:03:100
,,DJI_0044.JPG
,,DJI_0045.JPG
,,DJI_0057.JPG
,,DJI_0058.JPG
,,DJI_0091.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
00:00:03:100,00:00:03:200
,,DJI_0044.JPG
,,DJI_0045.JPG
,,DJI_0057.JPG
,,DJI_0058.JPG
,,DJI_0091.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
00:00:03:200,00:00:03:300
,,DJI_0045.JPG
,,DJI_0057.JPG
,,DJI_0058.JPG
,,DJI_0091.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
00:00:03:300,00:00:03:400
,,DJI_0045.JPG
,,DJI_0057.JPG
,,DJI_0058.JPG
,,DJI_0091.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
00:00:03:400,00:00:03:500
,,DJI_0058.JPG
,,DJI_0091.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
